label,text
1,rt machinegunkelly tbt i tried on french s outfit for the freshman cover at that shoot high as fuck off weed brownies t co hkiwy 
1,yet this nigga still checkin up on his old hoes 
1, ballardtheg get this nigguh of this streets
1,the english killed all the leprechauns thank god annoying little bastards 
0,rt drizz lakerking horrible rt yeiiowbang invader zim was trash
1,pussy causes wars 
2,rt waynedupreeshow fear mongering by the left is dying wake up who are you going believe charlie rangel and hussein or mia love and c 
0,only faggots use white ds s
1,you can t cuff a hoe lmao
2,i love liv when she gets ghetto
1, rickbakas not hard to she s kind of a hoe 
1,face only yo bitch could love t co ockxaythak
2,i got to get the trash out and make breakfast for the frau and start laundry so y all be good till i get back cracker out 
1,these hoes was just really fighting ova some rally s tho on th 
1,yeen never seen a fat nigga on a molly bitch imma hurt somethin
2, best asian massage on the park slope top rated spa t co kuzapfcmf
1,fucked the shit out yo bitch earlier she said she couldn t stand straight
0, whiteangelss y dont u end us monkeys then u hate us because were better than crackers amp i love it deep down u know weve done nothin u
1,how could you do this to meeeeeee bitch
1,rt shewili when you go to a college party and you don t see any bitches t co acut et tu
1,rt cuhcuhcuh if a bitch tell you she got cheated on more than times its somethin wrong with that hoe cuh
1, nessauzc lmao if the shoes fit lace them bitches up i m talking in general 
1,studying for this bio test like a hoe 
2,im in mickey ds and he gone ask for a double cheese burger wit no cheese foh
1,it aint nun to cut dat bitch off 
1,im trying to take the word bitch outta my vocabulary hardest shit ever
1,women want a best man holiday type of nigga meanwhile you have mad thot pics on ya gram talking about this could be us bitch die
1, realfortes grudges are for weirdos and bitches
1, indiana niggah you can tell from ma muhhfuckin grammar i swear i got hoes with me just like i m santa 
2,rt kyle lippert if you buy tickets for transformers d they just lock you in an aluminum trash can and toss you from an overpass into rus 
1,rt stevestfler no bitch ass chick flick will ever be as sad as this movie t co ha u tioav
2, youngjeezy got me feelin like trappin ain t dead got me ready to call the guala salute da truth seenitall seenitalltheautobiography
1,latina bitches only
1,he got a cousin named jason that rock da gary payton now da same triflin bitches an hiv patient
1, cb marie fuck them texts it s a movement lmaooo koleworld courts texting rubbed off on me she used to be bitch bout it tho 
1,rt idavey also rt paradoxicalmike i know one ho in particular who loves pointing out that everyone else is a ho lol 
1,i m literally about to scream and throw a bitch fit if people don t hurry the fuck up 
1,and i ve had enough unfollowing dat ass bitch
1,i listen to based god one time now im based no bitch stfu your like stay outa the based game 
2,what else come on on mondays im not finna watch that trash ive destroyed enuf brain cells 
2,dumpster rt baskgod gahbage rt sirhampton chicks that smoke are trash no in between no debate 
1, jimnastikowski quarters day are you a race traitor or just a dumbass 
1,be a dog to these bitches bt be a king to ya queen 
2,that night cap nonsense is for the birds 
1, lifeof brandon bitch i called yu back
1, rt karltonhinez itsnotharold smh bitch sellin her ass
1, bleedingtrap god teeth gold chain white bitches cocaine 
0,man fugazi ducked me like a true hick would have split that white trash faggot lid
2,designer belt with a trash fit is still trash 
1, caymarieee bitch i m talm bout at like 
2, oz arizona s trash
1,sorry me and kazooook be fucking bitches and we hella icy
2,rt wizkhalifa on the east coast there s colored hair everywhere this must be the sweetest wave ever 
1,well isnt that a bitch wildcards are going to the worldseries
1, noma bitch fuck you amp your dad 
1, maniac x buck beaners amp security started pushing him amp that jetsgreen faggot around
1,bitch you better not disappoint me madonna and britney and xtima have rt gwenstefani my new single babydontlie is coming monday 
2, jonsweethearts how are you argie 
1,im sorry but you didn t have to be a bitch last night 
1,karma is a bitch t co u uk v nwn
1,it s my mans weaselfbaby birthday all the big booty bitches show him some love t co xddlyr apq
1,rt rivera roberto ortiz you think she classy niggah but she really ratchet 
1,rt fuckthesehoes hate a bitch that run her mouth 
1, friendlyassh le you fat bitches needa stop biting your lips when you take pictures y all look hungry not sexy 
1,longway bitch
1, coley cee lil aerii upload our pictures wat pictures bitch
1,omg gt i was throwing beer bottles on street and yelling at drunk homeless people to stop harassing the trannies game torturebaseball
1, justezzzee bitch where u be fuck nigga
1,rt tylar man this hoe heaven stay taking all day
2,haha yankees fans are bent out of shape about the hu le graphic
1,guysssss you know what that means itslizkhalifa cannon maaan most of my friends are hoes this can t be true 
2,apparently i got chunky for my bday worse bday present ever lol diettime
1,can t trust these bitches and these niggas either 
1,rt cobenotkobe all hoes lie 
1,that s still my pussy
2,rt mundyspeaks poll florida governor rick scott is leading charlie crist by five points t co w kkny nvy
1,rt tweetnasschiqk we gotta be pretty with a perfect body smart funny not too tall know how to cook be good at sex but not a hoe h 
1, lcistj bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe 
0,rt dirtyskimask lmaooo friday after next stname bravo you like that yo son s a fag 
1,rt patbeeh idoclyfe rick james ain t even slap his bitches that hard
0, this niggah pharrell or whatever this niggah name is don t deserve shit for that white ass gay song 
1, me noindirect bitch stop harassing me 
1,i hate when cute ass girls have wack af boyfriends like bitch youre settlling quit your settling and be with a real nigga
1,idgaf about you flat chested hoes feelings either you a grown ass man nigga 
1,rt ikesizzle rt ericajenee shedazzle ike finna have the bitter bitches upsaught and he don t care lmao not at all
0,can faggots of honeybooboo imagine this internet world was created to trap them and feed them to allah like gazelles it stephenking
1, dappermuke i stick up for my fam don t disrespect the pouch my nigguh and awe ily t co tuq uad bk
1,be my backbone every nicca need a spine
1,boy a bitch still ain t got the proper amount of sleep 
1, countryredbelle i thought you d get the hint that we know you re a fake cunt and delete your fake account 
1,rt thenotoriousd like fuccck man why yall bitches wearing wigs to school 
2, divamonroe uhoe cheefpolo hoe hoe hoe merry christmas
1,cant wait rt strictlykeyz all niggas wanna do at is pop viagra and pop young bitches
1,rt l ldebbie so it s rude to talk about fat bitches but it s cool to talk about skinny bitches cus i know alot of thick hoes on the ver 
2, greghillwaaf new show thursdays with jinxy broadcast from the moon it s made of chunky blue cheese you know
1,bitches ah have a baby amp be like don t claim my child bitch you good amp goddamn well ain t nobody claiming your creature 
1,hoes get in this bitch talk about irrelevant shit 
1,got cramps bitches smokeweed teamloudpack
1, sellis nickehlers coryritter rtoohill farmersims agronomist once told me beans are a bitch they do whatever they want 
1,i gotta admit i used tell bitches everything they wanted to hear bighead change my ways a lil bit
1,hugh heffner gonna be on life support still gettin pussy
1,i don t have an iphone so i have to manually ignore these hoes t co yxmhy o u
1,ever leave me around yo bitch and ima get her stoned
1,blatt trash too but twitter said he was good
1,if i become president everybody s on lockdown i m gonna run this bitch like a penitentiary 
2, best asian massage on the park slope top rated spa t co gpbi yobq
1, keyshawnswag on god niggaa be tryna say aids been out longer and shit like no bitch ebola been out here 
1,i hate a extra ass bitch or an extra ass nigga you re doing too much just stop it s unnecessary 
2, titan ever how are yankees games on the radio good announcers 
2,wow charlie strong is cleaning house might be upwards of released before he is done evan p grant
1,a hoe gone be a hoe they ain t 
1,it s amazing what hood bitches wear i they body and in they head
0, tweetfrmthesole it s the entire pats bandwagon they re faggots
2,they love me at the place i bring my car to i don t know why spanish men love me sometimes i do look like a guala though lol
1, nickjspada averagexbishop rcummings we were making those brownies at am tired as a bitch under the circumstances they re pretty good
1,heard some good news today and all i gotta say is karma is a bitch 
1,biker gang looking ass bitches with titty tats foh sons of anarchy 
0, maxwell larsen your a cunt
1,brie said we were together since before we were born you guys are twins duh bitch omg who wrote the script bellatwins
2,mace for your wife charlie brown rejectedpeanutsspecials
1,rt djzeeti niggas tweet about wanting a good girl while giving hoes attention all day
1,rt awhooker contrary to belief us queers don t go around looking for things to be offended about it s just you cisheteros say the darne 
1,here this bitch go lol
2, momma said no pussy cats inside my doghouse 
1,she caught three nuts but she never catch feelings and bitch wit dat disposition we can count millions
1,why tf is this bitch in my class wearing all brewers shit it s football season 
1,rt imagrumpycat who remembers this bitch t co p mmbzqmih
1,pullout game trash arigold iyanla having an intrrvention with a man who has kids with women i have other questions 
0, darealalexinla woody afc rodriguez the nig is fun to watch got to admit ebola boy can speak broken spanish too lol
1,these niggas out here bitchin tell em suck sumn these bitches see my vision tell em fuck sumn
1,attention leggings ain t for everybody especially you hippo looking hoes 
1, moneydriven y u arguing with that ugly bitch on twitter
1,rt bulletdeezy i just wanna be skinny amp fit sike thick bitches got it going on ass fat thundathighs jellyrolls imstillsexy
2,bet charlie strong has contacted ridley
1, jawshoeeahhh greyyygoose jehnayy you re gay bitch
0,rt mrzsixtrue ill break a bitch down like the pussy she is 
2, callneeshcakey no a pop wop 
1,rt greaterthn when you see bae retweet or mention some hoe t co ii yiov
2, professor charlie sheen could coach better than crusty dusty yeah they hired bryan price the pitching coach
0,rt halfricannnnn nigger
1,rt friendlyassh le how bitches be when soccer players take their shirt off t co xalmdxr a 
2,have you noticed all the ghetto people naming their kids after cars mercedes lexus repossessed 
1,rt thebardockobama yea but who gets more bitches grandma
1,rt liidurk dese hoes be ugly af talking bout if i wanted yo boyfriend i could have him bitch you look like a boyfriend 
1,wanna make a boss happy bitch talk nasty 
2, hauntingilinsky sorryimalex bc taylorcaniff is trash why would he lie about that i told you he s real
1,rt wayhustle bitches love niggas that got bitches
2, cbsthismorning charlierose norahodonnell tx trash your show was a disgrace this am engaging w mittromney disrespecting the president
1,ready to bounce out dis bitch
1,this lit bitch jayonna in the class im an aide in is sooo funny
1,shouts out to all my goth bitches
1, bows down yes bitchmaster bitch 
1, collinbrennan damn son maybe he didn t know it was ya piece he was just tryna get some pussy breh
1,rt og kicks i love my girlfriend she be shitting on y all hoes 
1,rt jusabadgirl nothing i hate more than a sneaky bitch
1,on my own shit jus turned bitches on dat now you grown shit 
1,rt dee insideyou team no hoes 
1, moeeaseyamind bitches crazy 
2,such a sucker for some oreos
2,rt tomarnold boy went trick or treating at charlie sheen s dada not jealous cause all charlie gave out was really good candy and by cand 
1,i m talkin bout superb punching the ref was on some hoe shit against carlton haywood dude took a full minute of unanswered royceda 
0, americanwhitehm those niggers disgust me they should have dealt with years ago we wouldn t be having these problems now 
1,i m so mother fucken sexy i have no time to be a retard 
1,rt ooh b kilt em glizzygang bitch
1, zenterrorist seahopke amp profeten voor m niemand weet exacte leeftijden maar v aicha opeens wel again zelfs mn ma weet niet hoe oud z is
2,rt imaplainjane simplysoulful uncle charlie and nem lol
1, sarahpalinusa wow impeachment look at you using your vocab workshop words guess we were only half wrong about you being a dumb cunt 
0, marylene sunflower shelliecorreia jan usa no just a niggress that thinks she s human 
1, dranumaya wrong maybe you been dealing with pussies but i don t put up with that crap if i f up telling me i f up keep it real
2,even humming birds like the stuff t co w ohscbg l
1,rt hennhenn happy halloween bitches katiedodds halloween cle t co twajtr evj
1, drrrruuuu thechriscates pussy
0,shoot that nigga an his shorty bitch 
1,rt sadailday school is so pointless im just trying to pass the class and get out this bitch
1,rt khadijzah people be like from bae to who are you real quick i be like bitch don t play with me i ll cut you
1,i dress how i feel if i felt like a bitch id dress like one
1,i been way to consistent on niggas i m have to drop some trash to get appreciated
1,rt lnsanetweets once i take my bra off don t ask me to do shit for u bitch bc once that bra comes off i am clocked out of life i am do 
1,rt mikemike real i told u bout doing that thoughtsofrandy some niggaz will say and pay anything to get the pussy must be you
1,rt timopleasant this grown on your own shit is for the birds 
1,i hate bitches with bad eyebrows
1, nadixo joelxmontoya i m dreaming t co y pyz rai ewwww bitch you must be fucked up 
2,tracy morgans car wreck and the press was covered by zappa in the s some joker with a brownie and ye ll see it all complete 
2, notsosweetpea soo when we hanging out and makin brownies 
1,i need a bitch to go down like i need a beat
1,i would love to give this bitch some act right juice lol
1,on ya pussy rap sheet it s a whole lot of bros 
1,rt moneygang rod musty pussy maggot bitches tryna lick my sac for riches ogmaco fuckemx 
1,lmao rt a dao yeah that pussy yours cee rt yolac come get some breakfast from boom rt ceeross breakfast plz
1, zvckslvt r my sister shittin on you hos once again vsamone wodeh bout dat action t co nzhxa gua 
1,and this is why i m single i don t fuck with bitches or there attitudes foh 
1,this hoe straight up disappeared on me like where did you go 
1,every lady ain t no hoe but every lady sure ain t no queen
2, mtmcly he will need monkey bars on his tricycle
2,baby i ll whisper vietnamese to you all soft like ching chong ting o long 
1, ratedtfxrtaylor text me queer bait
1, dietcarmel jlewyville idgaf man fuck them hoes they nice to look at but they ain t for me
1,rt ortiz jaylene i m a tall big booty bitch wtf lol 
1,rt ballout free tino lul hoe 
1,los pussy ass lost by points i winnnnnnnnn
1,rt louievree this bitch feet been through years of slavery t co meljya qsp
1, fazeybaby kmichelle souljaboy who can vouch for ya pussy tho k 
1,that ios gon get yall bitches fucced up trynna hide shit
1, onstar mondays are a whole lot better when you re driving a vehicle t co liixxmzndz that white pussy uhhh get ya 
1, mickalabickham bitch
2, basebaiivines michael pineda hides pine tar on his neck t co pjrkjeay h fact that the yankees cheat go red sox boston
1,rt skyereyes inspirenaima text someone that pussy was so good amp sorry wrong number and quote this with their response 
2, kuczaaak tyg kris griff is too ghetto to know anything about sperrys or vans
2,rt sassytbh a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be stupid if u pay for a b 
1,only people not home right now are nurses hoes amp niggas tryna hit them hoes 
1,shit bitch nigga shit
1,i guess niccas think if they owe you money for so long you ll forget 
1,all deses bitches turnt up i m fenna turn em down
1, follownova yooo i was thinking bout that the other day lol you only really speaking of one person my niggah
1,rt isellgreencards st rt mssashabelle show proof i sold pussy for i ll wait 
1,my nigga got me hanging out with his fat catfish bitch smh
1,rt nikkiiibeeee getting called ugly by a bitch that use to idolize you ohhhh well okay 
2,un pollito cruzaba la frontera un zorro se tropieza con el pollo el zorro le dice im sorry el pollo le dice im t co oxcoyauji 
2, baileymw you re the sole reason i come to that chipotle incase you didn t know keep up the good work babe
1,i tell this bitch followback she rts me saying followback then doesn t followback blocked like fuck
1, heilsidious breezbyya lol that caitlyn can t carry retards 
2,any solution to zog which doesn t deal with demographics only laws is no solution northwestimperative t co vhy s apcn
1, justinbieber have fun getting deported you fucking faggot
1, kieffer jason bitch u a thot oh fake ass nigga box up hoe u not bout nothing
1,don t throw me the pussy let me come get it
0, kieffer jason lmao why ur dad raised u to be a bitch made nigga
1,rt jay tee armani bliss this ghetto jeopardy shit wack 
1, iamshiraq whereyohussleat caymarieee yall partners in crime that s my bitch she can t ride solo
1, yo bitch on the horn tryna shoot a porn kingl that s t shirt worthy tony
1,rt adrian knowsu jessi lml se pasa de shunsha and no mi joda w ur bitch waaa 
0, iamkrause no need to thank me killing niggers is it s own reward dis my pal from our graduation when we was 
1,got ya crackas spics chinks and carpet riders but no niggas mlk ain t fight for nothing gimmeablackemoji
2, bonesaw there s a reason why the yankees don t want anderson any longer 
1,how you like them apples you pineapple bitch 
1,rt sheboundta g o wedont smokereg money ova bitches i m yellin it ta da grave developed at ah young age go afta wat pays 
1, beautifulkeezy yess bitch messyyy
2, dracheofficial i ve tried i always hit alt f and eat mega stuffed oreos because i can t figure out those programs lol
1,will u sell dat pussy for me 
2, heavensenttynae nd you kno how much i love clams lol
1,rt ckillatrippy im a knock the pussy out like fight night
0, badshah ur pal stlabubadu threat apostate kufar gt i cld cut ur neck w sword of islam amp watch u squeal like a bitch like daniel pearl 
1, lornalovesmatt delon aaryneliza poor poor parker has nothing without aaryn bitch about no would even know he was around a looser
1, princessfaggit cry bitch
1, willbur wolzgotbolz fight me bitch 
1,ruley a bitch ry
1,rt swayhasanswers twerking is ghetto until white people do it hip hop culture is violent amp dangerous until they want to profit of it ht 
1,ross a bitch for not responding
2,rt giannenichole trassshhh rt willie obeamen them s that come out this weekend so trash 
1, simplycaitlin why do my friends hate me because you a ratchet hoe 
1,some niggas beat a bitch to get a point across some mentally fuck w her some just ignore it 
1,rt ilongdickhoes when bitches say that your dick game is stupid t co cw uoqx ds
1,claim to be a boss but you a lil broke bitch 
1,just a young niggah wit a promised future caseyveggies
1,rt kiss mybeautyy i d rather argue amp make up then fight amp break up cause thirsty bitches love to see happy homes fuc 
0,stoni is a fuckin queer 
1, dominiloka my daughter makes me with i wasn t a hoe from age u on a roll tonight
1,she suckin on my dick cuz i m a pretty bitch
1, laneishaaaa thompson era pretty boy face awee thanks faggot
1,if yo pussy good my pullout game weak 
2,rt urbanengiish when your phone goes off in class and the teacher says turn that trash off but its a song from your mixtape s t 
1,dumb cunt
1,trust a bitch i can t wife a bitch i can t
1,rt anibeeezy all these damn bitches on my phone line
2,rt darthputinkgb today in charlie wilson left office should be ranked alongside lech wa sa for his role in defeating communism 
1,gabby is such a hoe
1,lookin at u hoes federalboobieinspector t co wxlgv xkdx
1, rikki lovee bitch why can t i retweet your shit lol love you hope you re having a great bday 
1, cdnballjunkie spurs bitch that s the team you dont want no problems
1,rt adddisonn smoke good weed with a bad bitch
1, hbmostdope ugly bitches be like i m my own wcw duh bitch you ain t nobody elses 
1,paid dis much for da belt i betta crack a bitch
1,i eats the pussy 
1,hoes pick me like dandelions pickme
1, rt ido me this vodka be having all the hoes bent over 
1,looks like the next douche bag teabagger to be crowned governor is some ghoul named ducey rhymes with douchy azgov azvotes tcot gop
1, notgrimey bobbybudnic my brother a faggot smh
1, mingtong you still are a cunt
1,webbie to retarded
1,rt callherebby it s a girl out there who let russ pay her for her pussy and never has to see him again meanwhile i read this nigga tweet 
2, thareal gapeach got it thanks hun ima text u
1,is this napk bitch retarded or stupid wtf would you request me didn t she read my bio it s pretty t co reqhlhhml 
1,so yesterday i ran into a dude i went to high school with amp he used to be skinny as hell now omg same fucker who slit my tires years ago 
2, grand opening top class oriental massage perfect t co o jozokfei
1,sure wish my nose would stop dripping this sick shit is for the birds
1,no a dog like that needs bitches and he ain t ever gonna get bitches with that on him 
1,rt oweesheredd you tell ya business to ah bitch so i can t trust ya
2,rt sportsnation so yanks have signed brian mccann amp jacoby ellsbury rumor has it they still want robinson cano babe ruth miguel cabr 
2,rt unnagroundking rt joshhelaku i don t care who kendrick made that song for it s still trash
2,anglo saxon mike oz
2, gabejgonzalez rpopbox and a prime leija would trash most of these dudes today 
1,loyal pussy forever bein better than the bitch thats been passed around 
1,rt bigdaddycooter vngelinaa yeah fuck lunch i ll just eat pussy under the staircase by the foriegn language hallway
1,rt lilduval one good woman is worth a thousand bad bitches but i still wanna fuck a thousand bitches
1,these hoes out here carrying infections yaw niggas better rap up w dat latex haha
1,rt marissaaxoo you re a cunt screen shot that
1,rt theonlyreed my daughter hate the freddy krueger mask i got at the crib wheneva she act up i put that bitch on for the nite
1,i got a thick ass neck tho or on these hoes can t zip my half zip fleece out this bitch 
2,jay z takeover amp u don t know live home amp home concert yankee stadium t co euk ulis via youtube
1, dannycatsteve because it s fucking retarded 
2,rt earthwormslim if melo go to the bulls they still gon be trash unless melo get special privileges allowin him play in a allstar uniform
2, raleighbeougher dumb beaner t co r habeqhsu
1,rt kingxstoney yeah we can t wrestle might have to rock bottom you foreal veronicagk i m a big bitch and proud lol let me live 
1,man kills mother of after she reveals she s hiv positive after having sex that bitch deserved it
0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer
1,rt cookiecocaine stop fuckin with a take me out somewhere type of bitch get you a baby i cooked for you type of chick 
1,that bitch came flyin in lmao 
1,sometimes u gotta knock a nicca out tho ijs freecb
1,what a retard lol
1,idgaf about you or ya mens ya bitch none of these bitches y all all can fuck off for all i care 
1,rt fuccseth huntermoore bitch doing a keg stand at this party t co mukk bottu
2,new show announced in lutsen mn at papa charlies on january artistdata com a ck
1,rt kingtunchi i make bitches fly like peter pand tho
1,these bitches irritating
0, fuck you you pussy ass hater go suck a dick and die quick someone to me in youtube comments i think we d be good friends 
2,rt diycookery godiva chocolate dipped oreos t co osypnadyto
1,rt zaybillions alright bitches we are the kayne s now t co ibsffuqag 
1, chloeforsale wigg i love you bitch 
1,ghetto ass bitches came in my job talm bout sum o yes u daddy down 
1, itsmander is you sure you ain t colored 
2,trust me just set the alpha to it s just as good maybe better than setting the visibility to false now fly on silver bird 
1,that old lassie in greggs is a total bitch man
1,rt beautysraj ariana is probably the next beyonce bitch if you don t back the fuck up t co g xgmaqk 
1, brianholmes god doesn t send retards to hell
1,rt capitalt how you put ya hoes before ya girlfriend 
1,rt joebudden she s not a hoe cuz she s not attainable to u bro 
0, soldier eaodgrn you are a teabagger scum who wants to threaten people with his penis extender you are a danger to this country 
1,my bitch educated had her clients pay the payments
1,bomb your house then fuck your bitch all hail al qaeda
2,rt inmysexdreams i love black shoes cause i can match them with anything but i also need some colored shoes
1,why is this thirsty white basic ass bitch still talking to me gtfo
1,rt fernvndooo u do realize when you say omg my ex downgraded lol xddd it makes you seem like a creepy little cunt that can t seem to de 
1, elchavaloko what s the difference between the three of the nig nog s 
1,my lil cousin be hating bitches always want the older nigga not my fault nor did i fuck the bitch so chill lol
2, imnotmakingitup hey u just followed me not long ago gonna nip that in da bud like ur bio tho u know the white devils stole our our
1,these hoes don t like a nigga they love my money these niggas don t like a nigga they all want some n t co iugyrimr d
1,rt mana bananas lol my wall of trust is so thick now if i m the biggest bitch you ve ever met you ll know why 
1,why these bitches be gettin instagrams just to post pictures of other bitches i dont get it
1, cb marie i need to find is both a damn job what evaittakes cb marie needs to find a bitch a job right
1,rt angelalonz i feel bad for these young girls that are already hoes 
1,niggas that eat mussels eat pussy too str facts
2,rt delphrano berto couldn t ko this dude who wanted to get ko d berto s trash upsher s trash that fight was trash bronertaylor boxing
1,rt neiman markus i give a shoutout to these bitches b c they hustlas too 
1,a bitch could never come out of her mouth and speak on shit that she has no idea what she s talking about 
1,like a woman to tell you what she wants you to do without sounding like a bossy demanding bitch the art to that is sexy 
1,what made this niggah say that out his mouth
1,man why do these hoes even bother wearing clothes when they re going out like that 
1,all i want for my birthday is a big booty hoe 
1,i like saying the word pussy hoe ion no why 
1,my tweets aint shit but you bitches aint either 
1, kieffer jason lmfao and i m making more money then yo duck ass bitch i from dallas tx born and raised and we back our shit up all day nigga
1, marlon n gaines i am brown while you are black and ignorant your stupidity makes me sick typical thug looking nigger 
1, beautifulkeezy bitch wea you going 
1,rt mabelsay ratchet bitches be like my name is shaniqua asssofathairsoreal brown get claps it claps right claps 
1,rt slimblanco ysdrillary bitches is so corny sooooooo corny 
1, that guyjeff bitch please not gonna happen nope 
2,rt tdot italians sharing food with your mangia cake friends because they love your food italianproblems
2,pacernation on the road perfect way to continue after iubb have finished nba pacers indiana hoosiers
1, coley cee my bad bitch ayeee t co grhtdie dz
1, lowworldsfinest stblock thomas man y all niggas chill man i m high af tho y all niggas ain t even tell me who the hoe is 
1,rt tellmeboutlove i swear these bitches think their still in highschool
1,i remember of my friends had this and i was jelly rt mike got hoes had this bitch you couldn t tell me shit bruh t co kz eij ugm
1, dearionbasedgod nigga fuck you some plano schools go hard then a bitch way better than richardson 
1, meeeesh my fuckin mom is a bitch like she aint even payin for it dylan is and he said its fine 
1,got my mind made nicca fuk u pay me 
0, rednationblogga fuck those faggots
1, ashleyrike sick bitch 
1,i say we all do a big fat line of meth after the finale come on you pussies p goodbyebreakingbad
1,n then the hoe sooooo ugly like bitch you ugly dog like dumb stupid ass ugly like 
2, rubs hands like bird man
1,omg this bitch on the tico wont stfu already 
2, searches my yellow pages app for the nearest jack in the box 
1, g coppo rt sharddagawd when you go down to eat the pussy and it smells tangy t co of piyl b 
1,rt treal urmagesty darkskin girls got that juicy pussy 
1,if i called you a bitch then you d prolly hate me if i called you a bad bitch then you ll prolly thank me 
2,rt jeffgallardo sonali guys with colored eyes t co hwiplpuxpq
0, matt petrie geta life faggot
1, sos be like come hang out with us but not if u fugly oh and side hoes to the left thnx 
1,like god damn you dirty bitch
1,fuck all that huggin and kisses i fuck all they bitches
1,like lex so fine she can have all my hoes imma make my husband by her a lamborghini
1,pussy ass people with guns and knifes foh i appreciate the people still willing to throw hands 
1,rt kingmiller the top comeback for when you call a nigga ugly i still pull more hoes than you 
1,karma is a bitch so baby you will get yours
1,rt seansteiger i don t gang bang ho i jus gang bang these hoes 
1,sad that girls look up to kim so much like damn she got famous from being a hoe and making sex tapes we need to find better role models 
0,rt idntwearcondoms stop stalkin your girl social media u bitch ass nigga
1,man heartburn is a bitch
1, marzzz nigger
2,a bird just flew into my window i hope he s okay 
